budget,genres,keywords,overview,release_date,tagline,title,cast,director
10000000,Comedy Romance,father son relationship new love fianc\u00e9 training rent,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",9/6/2007,Love. Commitment. Responsibility. There's nothing he won't run away from.,"Run, Fatboy, Run",Simon Pegg Thandie Newton Hank Azaria Dylan Moran Harish Patel,David Schwimmer
10000000,Comedy Romance Family,servant future chase lovers outlaw,Heartbeeps stars Andy Kaufman and Bernadette Peters as domestic robots who fall in love and run off together.,12/18/1981,Meet a modern nuclear family unlike any other.,Heartbeeps,Andy Kaufman Bernadette Peters Randy Quaid Kenneth McMillan Melanie Mayron,Allan Arkush
9000000,Drama,grieving widower widower,"A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life.",9/6/2014,There's more to family than what you see.,Black or White,Kevin Costner Jillian Estell Jennifer Ehle Gillian Jacobs Octavia Spencer,Mike Binder
0,Comedy Family Romance,,'N Sync heartthrobs Lance Bass and Joey Fatone stretch their thespian muscles in their acting debut. A young man (Bass) is smitten with a girl (Emmanuelle Chriqui) he meets on a subway train and spends the rest of the movie trying to reunite with her. The man's best friend (Fatone) helps him in his quest by wallpapering Chicago with posters and signs that soon become the talk of the town.,10/26/2001,,On the Line,Lance Bass Joey Fatone Emmanuelle Chriqui James Bulliard Al Green,Eric Bross
10000000,Adventure Drama War,war crimes violence laotian soldier pipe smoking rice paddy,A US Fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.,9/9/2006,A true story of survival... declassified.,Rescue Dawn,Christian Bale Steve Zahn Marshall Bell Toby Huss Pat Healy,Werner Herzog
10000000,Comedy Drama Music,rock star middle age,An ageing rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,3/19/2015,A letter from John Lennon changed his life,Danny Collins,Al Pacino Annette Bening Jennifer Garner Bobby Cannavale Christopher Plummer,Dan Fogelman
10000000,Drama Comedy,slacker basement destiny glue stoner,"Dispatched from his basement room on an errand for his mother, slacker Jeff might discover his destiny (finally) when he spends the day with his brother as he tracks his possibly adulterous wife.",9/13/2011,The first step to finding your destiny is leaving your mother's basement.,"Jeff, Who Lives at Home",Jason Segel Ed Helms Susan Sarandon Judy Greer Rae Dawn Chong,Jay Duplass
0,Drama Romance,adultery restaurant textile industry male friendship bourgeoisie,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",9/5/2009,,I Am Love,Tilda Swinton Flavio Parenti Edoardo Gabbriellini Alba Rohrwacher Gabriele Ferzetti,Luca Guadagnino
0,Drama Science Fiction Mystery,ayn rand,"The global economy is on the brink of collapse. Brilliant creators, from artists to industrialists, continue to mysteriously disappear. Unemployment has risen to 24%. Gas is now $42 per gallon.  Dagny Taggart, Vice President in Charge of Operations for Taggart Transcontinental, has discovered what may very well be the answer to the mounting energy crisis - found abandoned amongst ruins, a miraculous motor that could seemingly power the World.  But, the motor is dead... there is no one left to decipher its secret... and, someone is watching.  It’s a race against the clock to find the inventor and stop the destroyer before the motor of the World is stopped for good.  A motor that would power the World. A World whose motor would be stopped.  Who is John Galt?",10/12/2012,Who is John Galt?,Atlas Shrugged Part II,Samantha Mathis Jason Beghe Esai Morales Patrick Fabian Kim Rhodes,John Putch
11500000,Action Crime Drama Thriller,police operation sex addiction police mafia boss suspense,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,9/13/1993,The story of a cop who wanted it bad and got it worse.,Romeo Is Bleeding,Gary Oldman Lena Olin Annabella Sciorra Juliette Lewis Roy Scheider,Peter Medak
10000000,Action Crime Drama Mystery Thriller,prison release from prison suitcase record producer investigation,"The Limey follows Wilson (Terence Stamp), a tough English ex-con who travels to Los Angeles to avenge his daughter's death. Upon arrival, Wilson goes to task battling Valentine (Peter Fonda) and an army of L.A.'s toughest criminals, hoping to find clues and piece together what happened. After surviving a near-death beating, getting thrown from a building and being chased down a dangerous mountain road, the Englishman decides to dole out some bodily harm of his own.",5/15/1999,Vengeance knows no boundaries.,The Limey,Terence Stamp Lesley Ann Warren Luis Guzm\u00e1n Barry Newman Joe Dallesandro,Steven Soderbergh
6500000,Drama,race politics daughter installer police fall,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",1/13/2004,You think you know who you are. You have no idea.,Crash,Sandra Bullock Don Cheadle Matt Dillon Michael Pe\u00f1a Jennifer Esposito,Paul Haggis
10000000,Drama Romance,,A woman risks losing her chance of happiness with the only man she has ever loved.,9/23/2000,When a woman has the beauty men admire and women envy...it is wise to tread carefully.,The House of Mirth,Gillian Anderson Dan Aykroyd Eleanor Bron Terry Kinney Anthony LaPaglia,Terence Davies
0,Action Thriller,cia assassin,"Erstwhile C.I.A. assassin Richard Malone hopes for a tranquil retirement in the placid Pacific Northwest, but what he gets is a rumble with a right-wing extremist plotting a secret revolution. Adapted from the novel ""Shotgun,"" by William Wingate.",5/1/1987,"Ex-Cop, Ex-CIA, Explosive",Malone,Burt Reynolds Cliff Robertson Kenneth McMillan Cynthia Gibb Scott Wilson,Harley Cokeliss
0,Drama Romance,,A chance encounter with a stranger changes the life of a college gymnast.,3/30/2006,There are no ordinary moments.,Peaceful Warrior,Scott Mechlowicz Nick Nolte Amy Smart Tim DeKay Ashton Holmes,Victor Salva
10000000,Comedy,porno star hollywood,A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps -- and become a porn star.,9/9/2011,There Are No Small Actors. Just Small Parts.,Bucky Larson: Born to Be a Star,Nick Swardson Christina Ricci Stephen Dorff Don Johnson Ido Mosseri,Tom Brady
0,Comedy Drama,,"TV producer Pierre Delacroix (Damon Wayans) becomes frustrated when network brass reject his sitcom idea. Hoping to get fired, Delacroix pitches the worst idea he can think of: a minstrel show. The network not only airs it, but it incredibly becomes a smash hit. Michael Rapaport co-stars in this searing satire.",10/6/2000,,Bamboozled,Damon Wayans Savion Glover Tommy Davidson Jada Pinkett Smith Michael Rapaport,Spike Lee
10000000,Horror Thriller,japan forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",1/7/2016,Everyone comes here looking for a way out,The Forest,Natalie Dormer Taylor Kinney Yukiyoshi Ozawa Eoin Macken Rina Takasaki,Jason Zada
14000000,Adventure Mystery Thriller,cairo based on novel egypt pyramid museum,"Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs - murder, theft, betrayal, love, and a mummy's curse!",2/11/1981,Someone is hunting tourists out of season.,Sphinx,Lesley-Anne Down Frank Langella Maurice Ronet John Gielgud Vic Tablian,Franklin J. Schaffner
10000000,Comedy Drama Mystery,father-in-law marriage documentary filmmaking hipster middle age,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,4/3/2015,Life Never Gets Old.,While We're Young,Ben Stiller Naomi Watts Adam Driver Amanda Seyfried Charles Grodin,Noah Baumbach
10000000,Drama,california garden immigrant truck illegal immigrant,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while traveling across town to perform landscaping work for the city's wealthy landowners.,6/24/2011,Every father wants more for his son.,A Better Life,Demi\u00e1n Bichir Jos\u00e9 Juli\u00e1n Chelsea Rendon Dolores Heredia Joaqu\u00edn Cosio,Chris Weitz
0,Drama Mystery Thriller,secret asylum bed and breakfast place past psychopath,"A mentally disturbed man takes residence in a halfway house. His mind gradually slips back into the realm created by his illness, where he replays a key part of his childhood.",12/13/2002,The only thing worse than losing your mind... is finding it again.,Spider,Ralph Fiennes Miranda Richardson Gabriel Byrne Lynn Redgrave John Neville,David Cronenberg
10000000,Action Comedy Romance Thriller,female nudity drug cartel nervous breakdown,"Legendary undercover DEA agent Charlie Mayough has suddenly lost his nerves of steel. On the verge of a career-induced mental breakdown, and in complete fear of trigger-happy Mafia leader Fulvio Nesstra, Charlie seeks psychiatric help and finds himself relying on the support of an unstable therapy group and nurse Judy just to get through his work.",2/4/2000,The Agency's best has a bad case of nerves.,Gun Shy,Sandra Bullock Liam Neeson Oliver Platt Jos\u00e9 Z\u00fa\u00f1iga Michael DeLorenzo,Eric Blakeney
0,Adventure Drama Action Family,,"The Charles Dickens story of Nicholas Nickleby, a young boy in search of a better life for his recently torn-apart family. A young compassionate man struggles to save his family and friends from the abusive exploitation of his coldheartedly grasping uncle.",12/27/2002,,Nicholas Nickleby,Charlie Hunnam Nathan Lane Jim Broadbent Christopher Plummer Jamie Bell,Douglas McGrath
20000000,Thriller Crime Drama,new jersey restaurant hitman van arrest,"The true story of Richard Kuklinski, the notorious contract killer and family man.",9/1/2012,Loving husband. Devoted father. Ruthless killer.,The Iceman,Michael Shannon Winona Ryder Ray Liotta Chris Evans David Schwimmer,Ariel Vromen
0,Action Science Fiction,,"Krishna (Roshan) is born with magical powers - a legacy from his father. Priya (Chopra) comes into his life and becomes his world. When she beckons him to Singapore, he follows. In Singapore, Dr. Siddhant Arya (Shah), the megalomaniac scientist is on the verge of changing the future forever. Only one man stands between Dr. Siddharth Arya and his destructive dreams. To block his ruthless ambitions -- Krishna must become Krrish.",6/23/2006,,Krrish,Hrithik Roshan Naseeruddin Shah Priyanka Chopra Rekha Sharat Saxena,Rakesh Roshan
10000000,Thriller Comedy Crime,heroin blindfold bong perversion burned alive,An insane independent film director and his renegade group of teenage film makers kidnap an A-list Hollywood actress and force her to star in their underground film.,5/17/2000,Demented Forever!,Cecil B. Demented,Melanie Griffith Stephen Dorff Alicia Witt Adrian Grenier Lawrence Gilliard Jr.,John Waters
10000000,Crime Drama Thriller,trailer park gun texas deal psychopath,A cop (Matthew McConaughey) who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer (Emile Hirsch) in exchange for a tumble with the young man's virginal sister (Juno Temple).,9/10/2011,A Totally Deep-Fried Texas Redneck Trailer Park Murder Story.,Killer Joe,Matthew McConaughey Emile Hirsch Thomas Haden Church Gina Gershon Juno Temple,William Friedkin
10000000,Comedy Drama,independent film duringcreditsstinger,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",9/13/2009,"They're not just living the American dream, they're selling it.",The Joneses,David Duchovny Demi Moore Amber Heard Benjamin Hollingsworth Lauren Hutton,Derrick Borte
0,Crime Drama Thriller,female nudity gambling casino nudity banker,"Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.",5/2/2003,To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything,Owning Mahowny,Philip Seymour Hoffman Minnie Driver John Hurt Maury Chaykin Ian Tracey,Richard Kwietniowski
0,Comedy,brother brother relationship jealousy pregnancy and birth autoritian education arctic,"A pair of well-meaning, but socially inept brothers try to find their perfect mates in order to provide their dying father with a grandchild.",9/7/2007,They want to put a baby in you.,The Brothers Solomon,Will Arnett Will Forte Kristen Wiig Chi McBride Lee Majors,Bob Odenkirk
10000000,Drama Romance,usa kaffeehaus poker lovesickness waitress,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls.",5/16/2007,How do you say goodbye to someone you can't imagine living without?,My Blueberry Nights,Norah Jones Jude Law Natalie Portman David Strathairn Rachel Weisz,Wong Kar-wai
0,Drama,playwright critic theater,"It's the start of the 20th century, and Tuccio, resident playwright of a theatre repertory company offers the owners of the company his new play, ""Illuminata"". They reject it, saying it's not finished, and intrigue starts that involves influential critic Bevalaqua, theatre star Celimene, young lead actors and other theatre residents",5/21/1998,,Illuminata,John Turturro Christopher Walken Susan Sarandon Rufus Sewell Beverly D'Angelo,John Turturro
10000000,Comedy Romance,adultery island shipwreck tropical island,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.",10/11/2002,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,Swept Away,Madonna Adriano Giannini Bruce Greenwood Elizabeth Banks Michael Beattie,Guy Ritchie
5000000,Action Adventure Comedy Thriller,hitman political satire,"War Inc. is set in the future, when the fictional desert country of Turaqistan is torn by a riot after a private corporation, Tamerlane, owned by the former Vice President of the United States, has taken over the whole country. Brand Hauser, a hit man who suppresses his emotions by gobbling down hot sauce, is hired by the corporation's head to kill the CEO of their competitors.",4/28/2008,When it comes to war... America means business,"War, Inc.",John Cusack Hilary Duff Marisa Tomei Joan Cusack Dan Aykroyd,Joshua Seftel
0,Action Comedy,martial arts stadium champion shaolin steel helmet,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,7/12/2001,Get ready to kick some grass!,Shaolin Soccer,Stephen Chow Ng Man-Tat Patrick Tse Yin Zhao Wei Wong Yat-Fei,Stephen Chow
10000000,Drama,rape ambulance ex-girlfriend memory unsimulated sex,"Bud Clay races motorcycles in the 250cc Formula II class of road racing. After a race in New Hampshire, he has five days to get to his next race in California. During his road trip, he is haunted by memories of the last time he saw Daisy, his true love.",8/27/2004,"I'm not going to be okay, Bud.",The Brown Bunny,Vincent Gallo Chlo\u00eb Sevigny Cheryl Tiegs Elizabeth Blake Anna Vareschi,Vincent Gallo
0,Comedy Crime Thriller,,"Betty and Victor are a pair of scam artists. One day Betty brings in Maurice, a treasurer of a multinational company. Maurice is due to transfer 5 millions francs out of Switzerland, and Betty is convinced he plans to steal that money.",10/15/1997,,The Swindle,Michel Serrault Isabelle Huppert Fran\u00e7ois Cluzet Jean-Fran\u00e7ois Balmer,Claude Chabrol
0,Drama,prison biography reporter interrogation iran,"In 2009, Iranian Canadian journalist Maziar Bahari was covering Iran's volatile elections for Newsweek. One of the few reporters living in the country with access to US media, he made an appearance on The Daily Show with Jon Stewart, in a taped interview with comedian Jason Jones. The interview was intended as satire, but if the Tehran authorities got the joke they didn't like it - and it would quickly came back to haunt Bahari when he was rousted from his family home and thrown into prison. Making his directorial debut, Jon Stewart tells the tale of Bahari's months-long imprisonment and interrogation in this powerful and affecting docudrama featuring a potent and performance by Gael García Bernal recounting Bahari's efforts to maintain his hope and his sanity in the face of isolation and persecution-through memories of his family, recollections of the music he loves, and thoughts of his wife and unborn child.",11/7/2014,,Rosewater,Gael Garc\u00eda Bernal Shohreh Aghdashloo Jason Jones Haluk Bilginer Nasser Faris,Jon Stewart
0,Drama,,"Horty, a French foundry worker, wins a contest and is sent to see the sailing of the Titanic. In England, Marie, saying she is a chambermaid on the Titanic and cannot get a room, asks to share his room. They do, chastely; when he awakens, she is gone, but he sees her at the sailing and gets a photo of her. When he returns home, he suspects that his wife Zoe has been sleeping with Simeon, the foundry owner. Horty goes to the bar, where his friends get him drunk and he starts telling an erotic fantasy of what happened with him and Marie, drawing a larger audience each night.",10/10/1997,,The Chambermaid on the Titanic,Olivier Martinez Aitana S\u00e1nchez-Gij\u00f3n Romane Bohringer Didier Bezace,Bigas Luna
7700000,Drama Thriller,senate general market rivalry tragedy,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city.",2/14/2011,Nature teaches beasts to know their friends.,Coriolanus,Gerard Butler Ralph Fiennes Lubna Azabal Ashraf Barhom Jessica Chastain,Ralph Fiennes
10000000,Comedy Drama,suicide suicide mission,"Matt Travis is good-looking, popular, and his school's best competitive swimmer, so everyone is shocked when he inexplicably commits suicide. As the following year unfolds, each member of his family struggles to recover from the tragedy with mixed results.",9/14/2004,People are never who they seem to be.,Imaginary Heroes,Sigourney Weaver Ryan Donowho Emile Hirsch Jeff Daniels Michelle Williams,Dan Harris
0,Action Crime Comedy,nurse blackmail teacher best friend bank robbery,A nurse eavesdrops with a friend on a cell phone conversation that describes a bank heist. She and the friend then conspire to blackmail the robbers for $2 million.,7/16/2001,They're not bad girls. They're just behaving that way.,High Heels and Low Lifes,Minnie Driver Mary McCormack Kevin McNally Danny Dyer Michael Gambon,Mel Smith
10000000,Comedy Romance,male nudity poetry adolescence lie nudity,"Robin Williams stars as Lance Clayton, a man who has learned to settle. He dreamed of being a rich and famous writer, but has only managed to make it as a high school poetry teacher. His only son Kyle (Daryl Sabara) is an insufferable jackass who won’t give his father the time of day. He is dating Claire (Alexie Gilmore), the school’s adorable art teacher, but she doesn’t want to get serious --",8/20/2009,Lance Clayton is about to get everything he deserves.,World's Greatest Dad,Robin Williams Alexie Gilmore Daryl Sabara Geoff Pierson Henry Simmons,Bobcat Goldthwait
0,Horror Comedy Thriller,will to survive killer forced retirement defence company jump the shark,"Members (Danny Dyer, Laura Harris, Tim McInnerny) of the Palisades Defense Corp. sales group arrive in Europe for a team-building exercise. A fallen tree blocks the route, and they must hike to their destination. However, a psychotic killer lurks in the woods, and he has a horrible fate in mind for each of the co-workers.",5/19/2006,The Company Is Making Cutbacks,Severance,Danny Dyer Laura Harris Toby Stephens Tim McInnerny Babou Ceesay,Christopher Smith
10000000,Drama Thriller,new york sex-shop prostitute sex fortune teller,"Seemingly mild-mannered businessman Edmond Burke visits a fortuneteller and hears a remark that spurs him to leave his wife abruptly and seek what is missing from his life. Encounters with strangers and unsavory people weaken the barriers encompassing his long-suppressed rage, until Edmond explodes in violence.",8/31/2005,Every fear hides a wish.,Edmond,William H. Macy Joe Mantegna Denise Richards Mena Suvari Bokeem Woodbine,Stuart Gordon
0,Drama,prostitute rape stripper independent film teenage girl,"Years after their teenage daughter’s death, Lois and Doug Riley, an upstanding Indiana couple, are frozen by estranging grief. Doug escapes to New Orleans on a business trip. Compelled by urgencies he doesn’t understand, he insinuates himself into the life of an underage hooker, becoming her platonic guardian.",10/29/2010,,Welcome to the Rileys,Kristen Stewart James Gandolfini Melissa Leo Joe Chrest Ally Sheedy,Jake Scott
0,Comedy Crime,video game mafia police academy moscow commandant,"The Russians need help in dealing with the Mafia and so they seek help with the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",6/9/1994,"Just when we thought the Cold War was over, leave it to these guys to heat it up again.",Police Academy: Mission to Moscow,George Gaynes G. W. Bailey Leslie Easterbrook Michael Winslow David Graf,Alan Metter
0,Drama Crime,,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.,2/1/2010,No one changes the world alone.,Blood Done Sign My Name,Natalie Alyn Lind Michael Rooker Emily Alyn Lind Omar Benson Miller Lee Norris,Jeb Stuart
10000000,War History Drama,mexican,"On May 5th, 1862, a few thousand Mexican soldiers put their lives on the line against the world's largest and most powerful army in one legendary battle for freedom and for Mexico.",5/3/2013,,Cinco de Mayo: La Batalla,Christian Vazquez Liz Gallardo Ang\u00e9lica Arag\u00f3n Kuno Becker Gin\u00e9s Garc\u00eda Mill\u00e1n,Rafa Lara
10000000,Comedy Family Romance,widower,"Aged, embittered widower, Fred learns to enjoy life thanks to his elderly yet vibrant neighbor, Elsa. Upon learning Elsa is terminally ill, Fred takes her to the Fontana di Trevi in Rome in order to reenact her favorite scene from ‘La Dolce Vita’.",3/7/2014,It's never too late.,Elsa & Fred,Shirley MacLaine Christopher Plummer Chris Noth Marcia Gay Harden Scott Bakula,Michael Radford
10000000,Comedy,alan smithee,"Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad, big budget action film which he proceeds to steal the reels and leave the cast and crew in a frenzy.",2/20/1998,,"An Alan Smithee Film: Burn, Hollywood, Burn",Jackie Chan Sylvester Stallone Whoopi Goldberg Eric Idle Ryan O'Neal,Alan Smithee
0,Comedy Drama Romance,independent film,"Minor leaguer Carlton Garret takes an unexpected road trip to track down his estranged father, legendary baseball player Kyle Garret when Carlton’s mother becomes sick. Once reunited, Carlton struggles to deal with the series of misadventures caused by his father’s antics. Attempts at bonding come to a head as the mismatched duo make their way from Ohio back home to Houston to reunite the family.",2/7/2009,They've got a long way to go,The Open Road,Justin Timberlake Jeff Bridges Kate Mara Harry Dean Stanton Mary Steenburgen,Michael Meredith
3200000,Comedy Romance,independent film,"Ambitious young Manhattanite and urban conservationist Beth (Bledel) wants it all: a good job, good friends, and a good guy to share the city with. Of course that last one is often the trickiest of all. Beth falls hard for Tommy (Porter), a sexy, young Wall Street hot-shot. But just as everything seems to be falling into place, complications arise in the form of Tommy's sensitive and handsome co-worker Daniel (Greenberg). Beth soon learns that the game of love in the big city is a lot like Wall Street -- high risk, high reward and everybody has an angle.",4/25/2009,,The Good Guy,Alexis Bledel Colin Egglesfield Anna Chlumsky Andrew McCarthy Scott Porter,Julio DePietro
0,Comedy Drama,mother role blog woman director,"Motherhood is a comedy written and directed by Katherine Dieckmann, and stars Uma Thurman, Anthony Edwards and Minnie Driver. Shot on location in New York’s West Village, focuses on the dilemmas of motherhood, such as marriage, work, and self, shown in the trials and tribulations of one pivotal day.",1/21/2009,,Motherhood,Uma Thurman Minnie Driver Anthony Edwards David Schallipp Matthew Schallipp,Katherine Dieckmann
0,Drama Family,duringcreditsstinger,"Cale Bryant is determined to win a coveted spot on the Grand National motocross racing team. With the support of his loving mother, precocious little sister and new girlfriend, Cale proves against all odds that he has the heart, the willpower and the courage never to give up on his dream.",12/24/2008,It's Time To Soar.,Free Style,Corbin Bleu Sandra Echeverr\u00eda Madison Pettis,William Dear
10000000,Drama Thriller,australia missing child outback alcoholic drink troubled marriage,"Newly arrived to a remote desert town, Catherine and Matthew are tormented by a suspicion when their two teenage children mysteriously vanish.",7/1/2015,To find the truth they must lose themselves.,Strangerland,Nicole Kidman Joseph Fiennes Hugo Weaving Lisa Flanagan Megan Alston,Kim Farrant
10000000,Comedy,,Two shady concert promoters get into hot water when their chance to book a superstar rapper goes awry.,10/16/2009,,Janky Promoters,Ice Cube Mike Epps Young Jeezy Darris Love Julio Oscar Mechoso,Marcus Raboy
10000000,Comedy Romance,stripper friends best friend,A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a mega-conglomerate.,12/21/2007,Small-town girl. Big-time dreams.,Blonde Ambition,Jessica Simpson Luke Wilson Rachael Leigh Cook Penelope Ann Miller Andy Dick,Scott Marshall Smith
14100000,Crime Mystery Thriller,mathematician mathematics oxford symbol triangle,"At Oxford University, a professor and a grad student work together to try and stop a potential series of murders seemingly linked by mathematical symbols",1/18/2008,There is no way of finding a single absolute truth,The Oxford Murders,Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter,\u00c1lex de la Iglesia
0,Drama Horror Thriller,boat boat accident underwater shark great white shark,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.,5/15/2010,Pray That You Drown First,The Reef,Adrienne Pickering Zoe Naylor Gyton Grantley Damian Walshe-Howling Kieran Darcy-Smith,Andrew Traucki
0,Comedy Drama,family secrets dysfunctional family independent film death in family family conflict,"A black comedy that follows three generations of a family, who come together for the funeral of the patriarch - unveiling a litany of family secrets and covert relationships.",10/15/2004,,Eulogy,Hank Azaria Jesse Bradford Zooey Deschanel Glenne Headly Famke Janssen,Michael Clancy
0,Thriller Drama Horror Fantasy,suicide murder,"A man's family brought back from the verge of death, he then discovers he can identify people who are about to die.",1/5/2007,Sometimes they don't come back alone.,White Noise 2: The Light,Nathan Fillion Katee Sackhoff Craig Fairbrass Adrian Holmes Teryl Rothery,Patrick Lussier
10000000,Music Drama,sporting event,"Three dance crews – one Latin American, one European and one Canadian – prepare to battle at the International Beat the World competition in Detroit. Along the way, they struggle with gambling debt, bad break-ups and their own egos. In the final showdown to become world champions they find that their lifelong hopes, dreams and even lives, are at stake.",6/10/2011,"Feel the beat, live the dream.",Beat the World,Tyrone Brown Mishael Morgan Nikki Grant Chase Armitage Ray Johnson,Robert Adetuyi
0,Action Thriller,ira slot machine riot police woman director,"Based on Martin McGartland's real life story as a informant for the British Police to spy on the IRA. Taking place from 1987-1991, Martin (Jim Sturgess) works his way up the ranks of the IRA, while keeping his informant with the police Fergis (Ben Kingsley) at bay. In the process he saved numerous lives and is still in hiding from the IRA today.",9/10/2008,,Fifty Dead Men Walking,Ben Kingsley Jim Sturgess Kevin Zegers Rose McGowan Tom Collins,Kari Skogland
0,Family Animation Adventure,poacher jungle,In this turbulent jungle adventure an outcast coati male has to team up with a quirky spider monkey to save a coati princess from the hands of a human poacher and his mysterious client.,8/7/2014,,Jungle Shuffle,Drake Bell Rob Schneider Brianne Siddall Joey D'Auria Jessica DiCicco,Taedong Park
10000000,Drama War,holocaust nazis israeli,"Before the war, in Berlin, Adam was an entertainer- cabaret impresario, magician, musician-loved by all until he finds himself in a concentration camp, confronted by Commandant Klein. Adam survives the camp by becoming the Klein's ""dog"", entertaining him while his wife and daughter are sent off to die. ""Adam Resurrected"" is the story of a man who once was a dog who meets a dog who once was a boy.",8/8/2008,,Adam Resurrected,Jeff Goldblum Willem Dafoe Derek Jacobi Ayelet Zurer Hana Laslo,Paul Schrader
10,Drama Romance Comedy,horse snow storm icelandic,A country romance about the human streak in the horse and the horse in the human. Love and death become interlaced and with terrible consequences.The fortunes of the people in the country through the horses' perception.,8/30/2013,,Of Horses and Men,Ingvar Eggert Sigur\u00f0sson Charlotte B\u00f8ving Steinn \u00c1rmann Magn\u00fasson Kristbj\u00f6rg Kjeld Helgi Bj\u00f6rnsson,Benedikt Erlingsson
0,Comedy Romance,london england indian lead murder matchmaking ghost,"Indian mother Mrs Sethi's (Azmi) obsession with marrying off her daughter turns murderous. With jokes that routinely miss the mark and cringeworthy slapstick, this black comedy farce shouldn't work. Somehow, though, it does. (c) Empire Magazine",5/7/2010,Finding the right man can be murder,It's a Wonderful Afterlife,Shabana Azmi Goldy Notay Sendhil Ramamurthy Sally Hawkins Mark Addy,Gurinder Chadha
10000000,Action Horror Thriller Science Fiction,duct tape gag bandana headshot camoflage uniform sadistic laughter,"Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed.",5/26/2009,An evil entombed for 2000 years... until now.,The Devil's Tomb,Cuba Gooding Jr. Ray Winstone Ron Perlman Taryn Manning Stephanie Jacobsen,Jason Connery
0,Drama Foreign Romance,drama independent film,"Determined to leave the ravages of war behind, 38 year old Gian Singh resigns from the British Indian Army to a quiet life. His world is soon thrown in turmoil, when he suddenly finds himself responsible for the life of a 17 year old girl, traumatized by the events that separated her from her family.",2/2/2007,,Partition,Kristin Kreuk Jimi Mistry Neve Campbell John Light Irrfan Khan,Vic Sarin
0,Comedy,independent film,"Meet Etta Milford. Loving Wife. Doting Mother. Armed Robber. Etta's husband constantly blows their money on make-shift inventions. When she decides to secretly take ""investment"" matters into her own hands - things quickly go awry! With their savings gone, her husband suspicious, and their children out of control, Etta concocts a scheme to get back their money and save her family.",3/9/2010,,Good Intentions,Luke Perry LeAnn Rimes Jimmi Simpson,Jim Issa
